Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Verleumdung (Art. 174),weiblich,   Partnerschaft,,,,,4,0,0.0,0.0,2.0,1,1,0,0
2009,Verleumdung (Art. 174),weiblich,   ehemalige Partnerschaft,,,,,26,0,1.0,5.0,9.0,9,2,0,0
2009,Verleumdung (Art. 174),weiblich,   Eltern-Kind-Beziehung,,,,,4,0,0.0,1.0,0.0,3,0,0,0
2009,Verleumdung (Art. 174),weiblich,   andere Verwandtschaftsbeziehung,,,,,18,0,1.0,3.0,5.0,4,5,0,0
2009,Beschimpfung (Art. 177),Total,Alle,1553.0,1603.0,0.0,213.0,1583,16,101.0,380.0,470.0,404,159,41,12
2009,Beschimpfung (Art. 177),männlich,Alle,,,,,339,10,17.0,50.0,82.0,102,58,17,3
2009,Beschimpfung (Art. 177),männlich,   Partnerschaft,,,,,161,0,0.0,30.0,49.0,53,22,6,1
2009,Beschimpfung (Art. 177),männlich,   ehemalige Partnerschaft,,,,,73,0,0.0,11.0,21.0,23,15,3,0
2009,Beschimpfung (Art. 177),männlich,   Eltern-Kind-Beziehung,,,,,46,8,14.0,0.0,2.0,6,12,3,1
2009,Beschimpfung (Art. 177),männlich,   andere Verwandtschaftsbeziehung,,,,,66,4,3.0,10.0,11.0,23,9,5,1
2009,Beschimpfung (Art. 177),weiblich,Alle,,,,,1244,6,84.0,330.0,388.0,302,101,24,9
2009,Beschimpfung (Art. 177),weiblich,   Partnerschaft,,,,,734,0,23.0,194.0,255.0,184,60,16,2
2009,Beschimpfung (Art. 177),weiblich,   ehemalige Partnerschaft,,,,,376,0,26.0,120.0,123.0,90,15,1,1
2009,Beschimpfung (Art. 177),weiblich,   Eltern-Kind-Beziehung,,,,,73,6,20.0,11.0,5.0,13,13,2,3
2009,Beschimpfung (Art. 177),weiblich,   andere Verwandtschaftsbeziehung,,,,,85,0,17.0,13.0,15.0,19,13,5,3
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),Total,Alle,659.0,670.0,0.0,162.0,656,4,49.0,194.0,178.0,150,55,21,5
